,Name,Entry No.,TimeStamp,Total Time,Status
65,ROAksBmXKO,1745LXI0053,"( 11:01:42 AM,  11:01:49 AM, 0:00:07)( 11:03:06 AM,  11:03:13 AM, 0:00:07)( 11:04:26 AM,  11:31:12 AM, 0:26:46)( 11:32:21 AM,  12:21:46 PM, 0:49:25)",0 days 01:16:25.000000000,Present
66,RVKNWyxTCt,5532AQK0459,"( 11:08:35 AM,  12:24:27 PM, 1:15:52)",0 days 01:15:52.000000000,Present
67,RpVisRhMMx,7064KTS2598,"( 11:00:01 AM,  11:00:06 AM, 0:00:05)( 11:00:22 AM,  12:25:36 PM, 1:25:14)",0 days 01:25:19.000000000,Present
68,SaGIdCukNI,6469PXB2343,"( 11:50:48 AM,  12:13:12 PM, 0:22:24)",0 days 00:22:24.000000000,Absent
69,SpyEOgxNeE,5393MIO0069,"( 10:56:12 AM,  10:56:16 AM, 0:00:04)( 11:01:29 AM,  11:01:37 AM, 0:00:08)( 11:03:05 AM,  11:03:11 AM, 0:00:06)( 11:15:20 AM,  12:16:00 PM, 1:00:40)",0 days 01:00:58.000000000,Present
70,SxyBMRFNnU,6531SMW6020,"( 11:00:09 AM,  11:02:57 AM, 0:02:48)( 11:03:32 AM,  12:25:07 PM, 1:21:35)",0 days 01:24:23.000000000,Present
71,TJyForEfbc,6813GIA6998,"( 11:51:10 AM,  12:24:55 PM, 0:33:45)",0 days 00:33:45.000000000,Absent
72,TbkhYNHyGe,9053UAP2283,"( 11:11:17 AM,  12:04:07 PM, 0:52:50)",0 days 00:52:50.000000000,Present
73,TtygqpMZQO,0349LNS0250,"( 11:07:51 AM,  12:25:13 PM, 1:17:22)",0 days 01:17:22.000000000,Present
74,USPQwhGeqQ,,"( 11:00:14 AM,  12:30:00 PM, 1:29:46)",0 days 01:29:46.000000000,Present
75,UUxYVGTxOK,0379PCP2600,"( 11:16:55 AM,  11:48:32 AM, 0:31:37)( 11:48:46 AM,  11:49:33 AM, 0:00:47)",0 days 00:32:24.000000000,Absent
76,UcxWyYwyFa,0813WOQ1692,"( 10:56:12 AM,  10:56:34 AM, 0:00:22)",0 days 00:00:22.000000000,Absent
77,UeJjSpwZLA,1513KOY7146,"( 11:02:03 AM,  12:30:00 PM, 1:27:57)",0 days 01:27:57.000000000,Present
78,UeJsCAgqnS,,"( 11:04:31 AM,  11:04:45 AM, 0:00:14)",0 days 00:00:14.000000000,Absent
79,UgLqknAWhi,4611RBN0922,"( 10:57:08 AM,  10:59:05 AM, 0:01:57)( 10:59:05 AM,  12:21:52 PM, 1:22:47)",0 days 01:24:44.000000000,Present
80,UqAsVrvsLx,8820IDD9154,"( 11:05:59 AM,  11:06:25 AM, 0:00:26)( 11:06:40 AM,  11:51:48 AM, 0:45:08)( 11:57:55 AM,  12:30:00 PM, 0:32:05)",0 days 01:17:39.000000000,Present
81,VEMdKyOqDI,1596QYK5980,"( 12:21:14 PM,  12:25:10 PM, 0:03:56)",0 days 00:03:56.000000000,Absent
82,VRKtrVxKdq,4043IIH9092,"( 10:57:44 AM,  10:59:04 AM, 0:01:20)( 10:59:04 AM,  11:55:52 AM, 0:56:48)( 11:59:19 AM,  12:24:53 PM, 0:25:34)",0 days 01:23:42.000000000,Present
83,VVlIdmomUf,,"( 11:32:42 AM,  12:24:26 PM, 0:51:44)",0 days 00:51:44.000000000,Present
84,VwwoahpPrh,9707CGK2887,"( 11:06:32 AM,  11:23:56 AM, 0:17:24)",0 days 00:17:24.000000000,Absent
85,WUXctleqoq,9403KPN9735,"( 11:02:11 AM,  12:30:00 PM, 1:27:49)",0 days 01:27:49.000000000,Present
86,WUnvJEiCOH,9775AQZ4584,"( 11:01:49 AM,  11:01:58 AM, 0:00:09)( 11:01:58 AM,  11:03:24 AM, 0:01:26)( 11:03:28 AM,  12:25:03 PM, 1:21:35)",0 days 01:23:10.000000000,Present
87,XfjuMvPiGH,6480RLZ0003,"( 11:31:47 AM,  11:41:58 AM, 0:10:11)( 11:59:31 AM,  12:04:22 PM, 0:04:51)",0 days 00:15:02.000000000,Absent
88,XrdoVkqQJb,,"( 10:59:31 AM,  12:25:00 PM, 1:25:29)",0 days 01:25:29.000000000,Present
89,XxgDQeCROq,6669QCN5561,"( 11:00:46 AM,  12:24:38 PM, 1:23:52)",0 days 01:23:52.000000000,Present
90,YNJYwtiWHu,,"( 11:11:15 AM,  12:30:00 PM, 1:18:45)",0 days 01:18:45.000000000,Present
91,YRkZrewLFT,0139LYY5530,"( 11:01:01 AM,  11:01:13 AM, 0:00:12)( 11:01:13 AM,  12:24:29 PM, 1:23:16)",0 days 01:23:28.000000000,Present
92,YeLgPIQCsf,0280SMO2195,"( 11:16:33 AM,  11:18:41 AM, 0:02:08)",0 days 00:02:08.000000000,Absent
93,YhwIyNZMmy,3834WVK8283,"( 11:00:22 AM,  12:24:41 PM, 1:24:19)",0 days 01:24:19.000000000,Present
94,YqvMZqAztJ,5950GOU3946,"( 10:59:19 AM,  12:24:23 PM, 1:25:04)",0 days 01:25:04.000000000,Present
95,ZDjJhirmzq,6517XVY7245,"( 11:00:31 AM,  11:47:23 AM, 0:46:52)",0 days 00:46:52.000000000,Present
96,ZcwOpnilJX,4537ITK4802,"( 10:56:12 AM,  10:59:03 AM, 0:02:51)( 10:57:29 AM,  10:59:05 AM, 0:01:36)( 10:59:04 AM,  11:37:00 AM, 0:37:56)( 10:59:06 AM,  12:25:18 PM, 1:26:12)",0 days 02:08:35.000000000,Present
97,ZeozIBexPD,7469TVL2314,"( 10:56:12 AM,  12:25:15 PM, 1:29:03)",0 days 01:29:03.000000000,Present
98,ZgkKZTGliE,,"( 11:06:11 AM,  12:05:09 PM, 0:58:58)",0 days 00:58:58.000000000,Present
99,ZscUHTjCeB,2506UPC1285,"( 11:01:34 AM,  11:12:49 AM, 0:11:15)",0 days 00:11:15.000000000,Absent
100,aQyaEZwELy,4106BWA9182,"( 11:45:23 AM,  12:25:08 PM, 0:39:45)",0 days 00:39:45.000000000,Absent
101,aqXoNjKwKP,3014GKT9518,"( 11:00:09 AM,  12:25:02 PM, 1:24:53)",0 days 01:24:53.000000000,Present
102,awZswsQYuz,5584MJW2995,"( 10:56:14 AM,  10:56:21 AM, 0:00:07)( 10:59:45 AM,  11:00:21 AM, 0:00:36)",0 days 00:00:43.000000000,Absent
103,bEoGvOpCCf,0214ZEW4211,"( 11:00:37 AM,  11:01:15 AM, 0:00:38)( 11:01:15 AM,  11:23:00 AM, 0:21:45)( 12:12:13 PM,  12:22:38 PM, 0:10:25)",0 days 00:32:48.000000000,Absent
104,bFHjXDuOEv,9711CSD4894,"( 11:02:06 AM,  12:25:00 PM, 1:22:54)",0 days 01:22:54.000000000,Present
